id,name,score,publisher,developer,follow,topic,review,install
2149,Escape Games Day-160,,EscapeGamesFun,,,,
2150,Escape Games Day-162,,EscapeGamesFun,,1,,
2151,ネガティブ彼女の成長日記　?彼女育成アプリ?,,freep [無料ねこ系ゲームやつむつむ系恋愛育成ゲームが満載！],,45,,1
2153,Zombie Ragnarok,,Primula Soft,,4,,2
2154,杀戮魅影JP,9.0,gumi Inc.,,5535,26,67
2155,校园强袭少女,9.0,"SQUARE ENIX Co.,Ltd.",,7881,15,81
2156,梦王国与沉睡中的100位王子殿下JP,9.1,"GCREST, Inc.",,3529,6,86
2157,战国炎舞 -KIZNA-,,"Sumzap, Inc.[ソーシャルRPG好き必見のDL無料の人気リアルタイムバトルゲームが満載！]",,163,,4
2158,最终幻想Record Keeper,9.2,"DeNA Co., Ltd.",,1680,1,15
2159,FINAL FANTASY GRANDMASTERS,,"SQUARE ENIX Co.,Ltd.",,737,2,3
2160,World Soccer Collections S,,KONAMI,,92,,1
2161,单车之虎,,Donuts Co. Ltd.,,40,,3
2162,高达征服,7.9,BANDAI NAMCO Entertainment Inc.,,9056,11,67
2163,超级高达：王者,7.8,BANDAI NAMCO Entertainment Inc.,,2801,8,29
2164,战斗女子学院JP,9.3,"COLOPL, Inc.",,6763,24,103
2165,JOJO的奇妙冒险：星尘射手,9.3,BANDAI NAMCO Entertainment Inc.,,5523,34,116
2167,伊丝塔传奇,8.7,Silicon Studio,,1763,1,30
2169,史努比拼图,,Beeline Interactive Japan,,72,,2
2170,Crasher: 战斗之神,,广州四三九九信息科技有限公司,,22,,2
2174,Platform Defense: Wave 1000 F,,1506,,14,,1
2176,Neon Hack: Pattern Lock Game,,"Epic Pixel, LLC",,10,,1
2178,混战之神,6.0,jiness,,6827,11,29
2179,永不言弃2,7.9,东品游戏,,99748,24,266
2180,???? ??? ???,,FUNTA,,62,,4
2184,World Of Blade : Zombie Slasher,6.7,"X's Quest",,124,,8
2186,Mad Dentist,,K3Games,,46,,
2187,Elhaz,,IntivSoft,,56,,1
2189,"三歲到老,勇士投器，地牢下投器!",,1200g,,23,,4
2194,Adventure Escape: Cult Mystery,,Haiku Games,,41,,1
2196,龙族拼图 (Puzzle & Dragons) - 韩国版,,GungHoOnlineEntertainment,,295,,1
2197,虚荣 (Vainglory),9.0,巨人网络,,1662132,22971,36152
2198,银河足球队,8.9,Com2uS,,20784,77,357
2199,三国志PK,,EFUN Company,,17,,1
2201,百将行US,8.8,GaeaMobile,,3224,3,31
2204,金光群俠傳 - 要玩就玩一流的!,,OhMyGod HK,,49,,1
2206,九龍戰-神獸出戰 戰無止境！,,G妹遊戲,,69,,4
2207,億次元-武田信玄の覺醒,,最火爆二次元戰國卡牌遊戲,,44,,
2208,勇者快打-最好玩的休闲手机RPG游戏,,HSgame,,68,,3
2210,部落大進擊,,Fantasyfish HK,,54,,1
2211,天堂战记TW,6.8,ENJOY GAME INC,,1490,1,27
2212,糖果工厂-宝宝巴士,,BabyBus Kids Games,,7330,,1
2213,鬼島屍樂園,,Go2Play Limited,,20,,
2216,領便當天團,,Go2Play Limited,,2,,1
2219,饥饿鲨：进化,7.6,北京掌趣科技股份有限公司,,126234,158,358
2220,射箭大師 3D - Archery Master,,TerranDroid,,1997,,5
2221,Two Dots,9.7,"Playdots, Inc.",,51900,28,923
2223,Turbo Speed Bike Racing 3D,,Crazy Cartoons,,4,,
2225,宠物乐连连,,XCQ,,15,,
2226,道具连连看,,曠世神作謹此一家,,2,,
2227,動物連連看,,推薦神作僅此一家,,36,,1
